source,target,type,value
Blue Hydrogen,Hydrogen_Generation,Blue Hydrogen,5.553065739
Green Hydrogen,Hydrogen_Generation,Green Hydrogen,1.54492361
Pink Hydrogen,Hydrogen_Generation,Pink Hydrogen,0.67
Hydrogen_Generation,Road Transport,Hydrogen,
Hydrogen_Generation,Residential,Hydrogen,
Hydrogen_Generation,Commercial,Hydrogen,
Hydrogen_Generation,Industrial,Hydrogen,
Hydrogen_Generation,Power Generation,Hydrogen,
Hydrogen_Generation,Rail,Hydrogen,
Hydrogen_Generation,Shipping,Hydrogen,
Hydrogen_Generation,Blending,Hydrogen,
Hydrogen_Generation,Direct Air Carbon Capture and Storage,Hydrogen,
Hydrogen_Generation,Transmission Losses,Hydrogen,
Hydrogen_Generation,Natural Gas,Hydrogen,
Hydrogen_Generation,Bioresources,Hydrogen,
Hydrogen_Generation,Nuclear,Hydrogen,
Hydrogen_Generation,Networked Electricity,Hydrogen,
Hydrogen_Generation,Non Networked Electricity,Hydrogen,
Hydrogen_Generation,ShortFall,Hydrogen,
